,code,title,points_r1_2021,points_r1_2020,points_r1_2019
265,CK706,Public Health Sciences,500,212,400
266,CK707,Medical and Health Sciences,578,297,379
267,CK710,General Nursing,498,285,475
268,CK712,Children`s and General Nursing (Integrated),565,293,349
269,CK720,Mental Health Nursing,455,287,254
270,CK730,Intellectual Disability Nursing,431,188,220
271,CK740,Midwifery,509,220,418
272,CK791,Medicine  - Graduate Entry (GAMSAT required),60,199,#591
273,AC120,International Business,294,272,#574
274,AC137,Liberal Arts,271,262,#989
275,CT125,Computing and IT,242,433,#671
276,CT325,Business,253,293,235
277,CM001,Education - Primary Teaching,508,276,298
278,CM002,Education - Primary Teaching - Gaeltacht Applicants,462,227,#713
279,CM003,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge,513,301,#757
280,CM004,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge (daltaí Gaeltachta),480,321,210
281,CM010,Education Studies,382,280,277
282,CM020,Early Childhood Education,317,380,#987
283,DS602,Higher Certificate in Science in Computing Level 6 (2 years),120,325,#566
284,DS701,Bachelor of Business Level 7 (3 years),136,163,#628
285,DS702,BSc in Computing Level 7 (3 years),136,207,269
286,DB500,Computing,234,302,260
287,DB501,Computing (Cloud Computing),,288,300
288,DB502,Computing (Data Analytics and Big Data),267,252,264
289,DB503,Computing (Software Development),,270,
290,DB504,Computing (Web and Mobile Technology),,336,377
291,DB510,Audio Production and Music Project Management,217,700,289
292,DB512,Business Studies,243,251,250
293,DB514,Business Studies (Law),239,700,242
294,DB515,Business Studies (Human Resource Management),242,700,245
295,DB517,Marketing (Event Management),233,200,264
296,DB518,Marketing (Digital Media),307,254,251
297,DB521,Accounting and Finance,243,700,225
298,DB524,Business (Information Systems),247,177,#300
299,DB525,Marketing (Digital Media and Cloud Computing),288,280,#288
300,DB526,Business (Cloud Computing),244,224,#351
301,DB527,Applied Social Care,254,210,210
302,DB528,Applied Social Care,146,231,#554
303,DB531,Marketing,288,283,#538
304,DB534,Sound Engineering and Music Production,139,300,#505
305,DB562,Psychology,244,218,#591
306,DB563,Arts,143,227,#514
307,DB566,Social Science,262,341,#760
308,DB567,Film and Creative Media,245,225,#413
309,DB568,Law,254,,337
310,DB569,Business (Psychology),240,234,#738
311,DB571,Business Studies,113,218,#444
312,DB572,Business (Accounting),141,252,271
313,DB573,Business (Marketing),169,244,301
314,DB574,Business (Information Technology),173,,300
315,DB576,Film and Creative Media,101,238,420
316,DC001,Education - Early Childhood Education,445,225,270
317,DC002,Education - Primary Teaching,518,342,330
318,DC003,Education - Primary Teaching - Gaeltacht Applicants,489,347,266
319,DC004,Education - Primary Teaching (Church of Ireland Centre formerly CICE),451,234,251
320,DC009,Arts (Joint Honours) - Humanities,356,AQA,#741
321,DC010,Post Primary Teacher Education - Religious Education and English,384,293,589*
322,DC011,Post Primary Teacher Education - Religious Education and History,409,AQA,613*
323,DC012,Post Primary Teacher Education - Religious Education and Music,409,243,262
324,DC013,Post Primary Teacher Ed - Gaeilge with French/German/Spanish,413,161,228
325,DC014,BA in Jazz and Contemporary Music Performance (audition),311,220,235
326,DC110,Business Studies International,498,218,309
327,DC111,Business Studies,511,219,270
328,DC112,Global Business (France),542,252,466
329,DC113,Global Business (Germany),484,173,274
330,DC114,Global Business (Spain),544,119,271
331,DC115,Accounting and Finance,544,117,440
332,DC116,Global Business (USA),613,136,278
333,DC117,Aviation Management / Aviation Management with Pilot Studies,484,AQA,253
334,DC118,Gnó agus Gaeilge / Business and Irish,368,440,300
335,DC119,Global Business (Canada),601,488,248
336,DC120,Computing for Business,403,445,423
337,DC121,Computer Science,475,411,#644
338,DC123,Data Science,501,376,396
339,DC126,Actuarial Mathematics,577,441,315
340,DC127,Common Entry into Actuarial and Financial Mathematics,541,412,330
341,DC131,Communication Studies,421,378,411
342,DC132,Journalism,452,419,413
343,DC133,Multimedia,435,419,307
344,DC155,Applied Language and Translation Studies,427,465,400
345,DC161,Analytical Science,498,488,477
346,DC162,Chemical and Pharmaceutical Sciences,531,517,510
347,DC163,Chemical Sciences General Entry (Undenominated Entry),466,462,322
348,DC166,Environmental Science and Technology,423,522,499
349,DC168,Genetics and Cell Biology,543,510,403
350,DC175,Physics General Entry (options),400,579,395
351,DC180,Biological Sciences General Entry (Undenominated Entry),530,476,251
352,DC181,Biotechnology,530,359,270
353,DC190,Electronic and Computer Engineering (with choice of four majors),488,564,235
354,DC193,Mechatronic Engineering,490,357,262
355,DC194,Sustainable Systems and Energy,476,400,282
356,DC195,Mechanical and Manufacturing Engineering,500,465,500
357,DC197,Biomedical Engineering,510,560,235
358,DC200,Common Entry into Engineering (Undenominated Entry),511,532,522
359,DC202,Sport Science and Health,511,407,576
360,DC203,Science Education,462,429,542
361,DC204,Athletic Therapy and Training,558,411,387
362,DC205,Physical Education with Biology,565,387,601*
363,DC206,Physical Education with Mathematics,521,498,532
364,DC207,Psychology and Mathematics,521,521,487
365,DC208,Psychology,565,433,294
366,DC209,Health and Society,477,512,451
367,DC210,Psychology and Disruptive Technologies,506,419,445
368,DC215,General Nursing,456,499,314
369,DC216,Mental Health Nursing,420,413,339
370,DC217,Intellectual Disability Nursing,382,411,346
371,DC218,Children`s and General Nursing (Integrated),521,425,412
372,DC230,"Economics, Politics and Law",431,423,309
