End of Season,,,,,,,,,,,,,,,,,,,,,,
"Level 8, 7 & 6 with ISCED Broad Field Code",,,,,,,,,,,,,,,,,,,,,,
The details  given are for general information only and do not form part of any contract. They are not intended for use in determining whether any individual applicant is or is not entitled to an offer of a higher education place,,,,,,,,,,,,,,,,,,,,,,
Random * = Not all on this points score were offered places,,,,,,,,,,,,,,,,,,,,,,
# = Test / Interview / Portfolio / Audition,,,,,,,,,,,,,,,,,,,,,,
AQA = All qualified applicants,,,,,,,,,,,,,,,,,,,,,,
avp = Available Places,,,,,,,,,,,,,,,,,,,,,,
v = New competition for available places resulted in a higher points cutoff,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
CATEGORY (i.e.ISCED description),COURSE TITLE,COURSE CODE2,R1 POINTS,R1 Random *,R2 POINTS,R2 Random*,EOS,EOS Random *,EOS Mid-point,LEVEL,HEI,Test/Interview #,avp,v,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
Health,Intellectual Disability Nursing,CK730,419,,411,,400,,433,8,University College Cork (NUI),,,,,,,,,,,
Health,Midwifery,CK740,484,,,,473,*,507,8,University College Cork (NUI),,,,,,,,,,,
Health,Medicine  - Graduate Entry (GAMSAT required),CK791,57,*,,,57,*,58,8,University College Cork (NUI),#,,,,,,,,,,
Education,Education - Primary Teaching,CM001,484,*,,,484,*,487,8,Marino Institute of Education,,,,,,,,,,,
Education,Education - Primary Teaching - Gaeltacht Applicants,CM002,,,,,,,,8,Marino Institute of Education,#,,,,,,,,,,
Education,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge – Gaeltacht,CM003,528,,,,528,,570,8,Marino Institute of Education,#,,,,,,,,,,
Education,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge – Gaeltacht,CM004,494,,,,494,,513,8,Marino Institute of Education,#,,,,,,,,,,
Education,Education Studies,CM010,319,,,,317,,407,8,Marino Institute of Education,,avp,,,,,,,,,
Education,Early Childhood Education,CM020,327,,,,327,,390,8,Marino Institute of Education,,,,,,,,,,,
Physical sciences,Applied Physics and Instrumentation,CR001,250,,,,250,,487,7,Cork Institute of Technology,,,,,,,,,,,
Biological and related sciences,Applied Biosciences,CR006,361,,,,361,,489,7,Cork Institute of Technology,,,,,,,,,,,
Physical sciences,Analytical and Pharmaceutical Chemistry,CR007,240,,,,240,,487,7,Cork Institute of Technology,,,,,,,,,,,
Agriculture,Agriculture (Year 1 - 2 days in Clonakilty Agri College & 3 days in CIT),CR010,321,,,,321,,422,7,Cork Institute of Technology,,,,,,,,,,,
Information and Communication Technologies (ICTs),Software Development,CR016,307,,,,307,,413,7,Cork Institute of Technology,,,,,,,,,,,
Business and administration,Business (Common Entry),CR021,255,,,,255,,433,7,Cork Institute of Technology,,,,,,,,,,,
Business and administration,Business Administration,CR022,190,,,,190,,336,7,Cork Institute of Technology,,,,,,,,,,,
Welfare,Social Care Work,CR031,346,,,,346,,411,7,Cork Institute of Technology,,,,,,,,,,,
Personal services,Recreation and Leisure Management,CR032,298,,,,298,,378,7,Cork Institute of Technology,,,,,,,,,,,
Welfare,Community Development,CR035,100,,,,100,,251,7,Cork Institute of Technology,,,,,,,,,,,
Personal services,Tourism Management,CR041,216,,,,216,,399,7,Cork Institute of Technology,,,,,,,,,,,
Personal services,Hospitality Management,CR042,208,,,,208,,316,7,Cork Institute of Technology,,,,,,,,,,,
Transport services,Automotive Technology and Management,CR046,216,,,,216,,337,7,Cork Institute of Technology,,,,,,,,,,,
Architecture and construction,Civil Engineering,CR051,248,,,,248,,451,7,Cork Institute of Technology,,,,,,,,,,,
Architecture and construction,Construction,CR052,251,,,,251,,367,7,Cork Institute of Technology,,,,,,,,,,,
Arts,Interior Architecture,CR053,308,,,,308,,434,7,Cork Institute of Technology,,,,,,,,,,,
Engineering and engineering trades,Environmental Engineering,CR055,258,,,,258,,409,7,Cork Institute of Technology,,,,,,,,,,,
Engineering and engineering trades,Electronic Engineering,CR061,260,,,,260,,444,7,Cork Institute of Technology,,,,,,,,,,,
Engineering and engineering trades,Electrical Engineering,CR062,300,,,,300,,401,7,Cork Institute of Technology,,,,,,,,,,,
Engineering and engineering trades,Mechanical Engineering,CR071,261,,,,261,,444,7,Cork Institute of Technology,,,,,,,,,,,
Health,Biomedical Engineering,CR075,306,,,,306,,498,7,Cork Institute of Technology,,,,,,,,,,,
Architecture and construction,Architectural Technology,CR090,266,,,,266,,411,7,Cork Institute of Technology,,,,,,,,,,,
Transport services,Nautical Science at National Maritime College of Ireland,CR094,243,,,,243,,380,7,Cork Institute of Technology,,,,,,,,,,,
Engineering and engineering trades,Marine Engineering at National Maritime College of Ireland,CR095,255,,,,255,,389,7,Cork Institute of Technology,,,,,,,,,,,
Engineering and engineering trades,Chemical and Biopharmaceutical Engineering,CR105,443,,,,443,,532,8,Cork Institute of Technology,,,,,,,,,,,
Information and Communication Technologies (ICTs),Software Development,CR106,411,,,,411,,463,8,Cork Institute of Technology,,,,,,,,,,,
Engineering and engineering trades,Mechanical Engineering,CR108,434,,,,434,,509,8,Cork Institute of Technology,,,,,,,,,,,
Architecture and construction,Structural Engineering,CR109,394,,,,394,,423,8,Cork Institute of Technology,,,,,,,,,,,
Transport services,Automotive Business Management and Technology,CR110,311,,,,311,,362,8,Cork Institute of Technology,,,,,,,,,,,
Arts,Creative Digital Media,CR112,361,,,,361,,430,8,Cork Institute of Technology,,,,,,,,,,,
Information and Communication Technologies (ICTs),Computer Systems,CR116,332,,,,332,,393,8,Cork Institute of Technology,,,,,,,,,,,
Arts,Music at CIT Cork School of Music,CR121,868,,,,912,,1078,8,Cork Institute of Technology,#,,,,,,,,,,
Arts,Popular Music: Electric Bass Guitar at CIT Cork School of Music,CR125,1088,,,,1088,,1088,8,Cork Institute of Technology,#,,,,,,,,,,
Arts,Popular Music: Drums at CIT Cork School of Music,CR126,801,,,,801,,940,8,Cork Institute of Technology,#,,,,,,,,,,
Arts,Popular Music: Electric Guitar at CIT Cork School of Music,CR127,838,,768,,768,,978,8,Cork Institute of Technology,#,,,,,,,,,,
Arts,Popular Music: Keyboards at CIT Cork School of Music,CR128,840,,,,840,,881,8,Cork Institute of Technology,#,,,,,,,,,,
Arts,Popular Music: Voice at CIT Cork School of Music,CR129,841,,,,841,,966,8,Cork Institute of Technology,#,,,,,,,,,,
Arts,Musical Theatre at CIT Cork School of Music,CR130,548,,518,,505,,600,8,Cork Institute of Technology,#,,,,,,,,,,
Business and administration,Business Information Systems,CR150,335,,,,335,,391,8,Cork Institute of Technology,,,,,,,,,,,
Arts,"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",CR210,#+matric,,,,#+matric,,#+matric,8,Cork Institute of Technology,#,,,,,,,,,,
Arts,Fine Art at CIT Crawford College of Art and Design,CR220,#+matric,,,,#+matric,,#+matric,8,Cork Institute of Technology,#,,,,,,,,,,
Arts,Photography with New Media,CR225,#+matric,,,,#+matric,,#+matric,8,Cork Institute of Technology,#,,,,,,,,,,
Physical sciences,Physical Sciences (Common Entry),CR300,282,,,,282,,476,7,Cork Institute of Technology,,,,,,,,,,,
Physical sciences,Physical Sciences (Common Entry),CR305,282,,,,282,,356,8,Cork Institute of Technology,,,,,,,,,,,
Information and Communication Technologies (ICTs),IT Management,CR310,297,,,,297,,339,8,Cork Institute of Technology,,,,,,,,,,,
Biological and related sciences,Biomedical Science - Offered jointly by CIT and UCC,CR320,565,,,,565,,577,8,Cork Institute of Technology,,,,,,,,,,,
Biological and related sciences,Pharmaceutical Biotechnology,CR325,398,,,,398,,440,8,Cork Institute of Technology,,,,,,,,,,,
Health,Nutrition and Health Science,CR333,402,,,,402,,433,8,Cork Institute of Technology,,,,,,,,,,,
Biological and related sciences,Biological Sciences (Common Entry),CR335,420,,,,420,,451,8,Cork Institute of Technology,,,,,,,,,,,
Physical sciences,Analytical Chemistry with Quality Assurance,CR340,251,,,,251,,366,8,Cork Institute of Technology,,,,,,,,,,,
Physical sciences,Instrument Engineering,CR360,261,,,,261,,388,8,Cork Institute of Technology,,,,,,,,,,,
Environment,Environmental Science and Sustainable Technology,CR365,253,,,,253,,341,8,Cork Institute of Technology,,,,,,,,,,,
"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",Agri-Biosciences,CR370,397,,,,397,,453,8,Cork Institute of Technology,,,,,,,,,,,
Business and administration,Accounting,CR400,316,,,,316,,413,8,Cork Institute of Technology,,,,,,,,,,,
Business and administration,Marketing,CR420,285,,,,285,,346,8,Cork Institute of Technology,,,,,,,,,,,
